year,title,authors,source_url
2016,2. Blanchot and Affinity,,https://doi.org/10.1515/9781474400183-004
2016,Blanchot and Affinity,Jonathan Evans,https://doi.org/10.3366/edinburgh/9781474400176.003.0002
2016,The Uses of Maurice Blanchot in Bernard Stiegler's <i>Technics and Time</i>,Calum Watt,https://doi.org/10.3366/para.2016.0203
2017,“I can” and “I speak”,"Donald A. Landes, None None",https://doi.org/10.5840/chiasmi20171925
2018,"The same but different: stable isotopes reveal two distinguishable, yet similar, neighbouring food chains in a coral reef","Baptiste Le Bourg, Yves Letourneur, Daniela Bănaru, Jean Blanchot, Cristèle Chevalier, Gérard Mou-Tham, Benoit Lebreton, Marc Pagano",https://doi.org/10.1017/s0025315417001370
2017,[6] Detestable Residue: From Psychoanalysis to Blanchot and Lyotard,,https://doi.org/10.1515/9781474429627-009
2017,INDEX,,https://doi.org/10.2307/j.ctv16km12g.13
2017,Front Matter,,https://doi.org/10.2307/j.ctv16km12g.1
2017,LIST OF FIGURES,,https://doi.org/10.2307/j.ctv16km12g.5
2017,Blanchot and the Moving Image,Calum Watt,https://doi.org/10.2307/j.ctv16km12g
2017,ABBREVIATIONS,,https://doi.org/10.2307/j.ctv16km12g.4
2017,Table of Contents,,https://doi.org/10.2307/j.ctv16km12g.2
2017,BIBLIOGRAPHY,,https://doi.org/10.2307/j.ctv16km12g.12
2017,"Irréversible, Disidentification, and Disastrous Responsibility",,https://doi.org/10.2307/j.ctv16km12g.10
2017,CONCLUSION:,,https://doi.org/10.2307/j.ctv16km12g.11
2017,Reading the Ontology of Film After Blanchot,,https://doi.org/10.2307/j.ctv16km12g.7
2017,ACKNOWLEDGEMENTS,None C. W.,https://doi.org/10.2307/j.ctv16km12g.3
2017,INTRODUCTION:,,https://doi.org/10.2307/j.ctv16km12g.6
2017,Experiencing the Absence of Time:,,https://doi.org/10.2307/j.ctv16km12g.9
2017,Appropriations of Blanchot in Godard’s Histoire(s) du cinéma and Deleuze’s Cinéma volumes,,https://doi.org/10.2307/j.ctv16km12g.8
2017,"The End of the World and the Finitude of the World (World, Christianity, and Finitude in Nancy and Blanchot)",Aïcha Liviana Messina,https://doi.org/10.14321/crnewcentrevi.17.3.0063
2018,Blanchot: Trzecie między zaimkami,Wojciech Kalaga,https://doi.org/10.18318/td.2018.4.19
2018,"<i>The Writing of Terrorism: Contemporary American Fiction and Maurice Blanchot</i>
            . By C
            <scp>hristian</scp>
            K
            <scp>loeckner</scp>
            .
            <i>The Writing of Terrorism: Contemporary American Fiction and Maurice Blanchot</i>
            . By KloecknerChristian. (Transcription, 10.) Frankfurt a.M.: Peter Lang, 2017. 256 pp.",Leslie Hill,https://doi.org/10.1093/fs/knx249
2018,Blanchot and the Possibility of Philosophy,Helena Costa de Carvalho,https://doi.org/10.5840/wcp23201839830
2019,"Levinas, Blanchot, and Art",Kevin Hart,https://doi.org/10.1093/oxfordhb/9780190455934.013.3
2018,Maurice Blanchot,Adam Potts,https://doi.org/10.1093/obo/9780190221911-0061
2018,Detestable Residue: From Psychoanalysis to Blanchot and Lyotard,Simon Morgan Wortham,https://doi.org/10.3366/edinburgh/9781474429603.003.0007
2018,"<i>Blanchot and the Moving Image: Fascination and Spectatorship</i>
            . By
            <scp>Calum Watt</scp>
            <i>Blanchot and the Moving Image: Fascination and Spectatorship</i>
            . By WattCalum. (Moving Image, 8.) Cambridge: Legenda, 2017. xi + 185 pp., ill.",Michael Holland,https://doi.org/10.1093/fs/kny207
2018,The Communism of Thought,Adrian May,https://doi.org/10.3828/liverpool/9781786940438.003.0003
2018,French Thought between Liberalism and Fascism,Adrian May,https://doi.org/10.3828/liverpool/9781786940438.003.0002
2018,From Anguish to Language,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0026
2018,The Turn of the Screw,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0035
2018,Using Vichy against Vichy,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0020
2018,There Is,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0006
2018,Admiration and Agreement,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0021
2018,Always Already (The Poetic and Political Interruption of Thought),Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0044
2018,Aligning One’s Convictions,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0007
2018,Murderous Omens of Times to Come,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0017
2018,The Passion of Silence,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0032
2018,The Mediterranean Sojourn,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0033
2018,Act in Such a Way That I Can Speak to You,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0052
2018,The Universe Is to Be Found in Night,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0019
2018,"Night Freely Recircled, Which Plays Us",Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0018
2018,The Walking Stick with the Silver Pommel,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0004
2018,Music and Family Memory,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0002
2018,Life Outside,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0057
2018,The Year of Criticism,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0029
2018,The Fedora of Death,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0003
2018,In the Name of the Other,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0022
2018,"Journalist, Opponent of Hitler, National-Revolutionary",Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0010
2018,Patriotism’s Breaking Point,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0013
2018,The Critical Detour,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0042
2018,"Refusal, II: In the Name of the Anonymous",Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0048
2018,On the Transformation of Convictions,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0015
2018,A Flash in the Darkness,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0005
2018,Forming the Myth,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0060
2018,Between Two Forms of the Unavowable,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0055
2018,Maurice Blanchot,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.001.0001
2018,"Refusal, I: The Revolution of Spirit",Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0009
2018,The Radiance of a Blind Power,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0040
2018,Something Inflexible,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0034
2018,The Prisoner of the Eyes That Capture Him,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0027
2018,The Black Stain,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0031
2018,A True Writer Has Appeared,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0023
2018,Maurice Blanchot,Christophe Bident,https://doi.org/10.2307/j.ctv8d5tnj
2018,Quarrels in the Literary World,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0037
2018,Invisible Partners,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0050
2018,The Authority of Friendship,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0036
2018,The Last Book,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0059
2018,Writers Who Have Given Too Much to the Present,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0025
2018,Characters in Thought,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0051
2018,With This Break in History Stuck in One’s Throat,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0062
2018,Terrorism as a Method of Public Safety,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0012
2018,The Author in Reverse,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0043
2018,The Far Side of Fear,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0056
2018,Of an Amazing Lightness,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0045
2018,Even a Few Steps Take Time,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0063
2018,The Thought of the Neuter,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0053
2018,Making the Secret Uncomfortable,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0061
2018,Invisible Partner,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0038
2018,Note That I Say “Right” and Not “Duty”,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0049
2018,Blanchot of Quain,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0001
2018,“Mahatma Gandhi”,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0008
2018,These Events Happened to Me in 1937,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0014
2018,The Escalation of Rhetoric,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0011
2018,"Grace, Strength, Gentleness",Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0046
2018,"Are You Writing, Are You Writing Even Now?",Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0041
2018,Respecting Scandal,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0030
2018,The Essential Solitude,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0039
2018,In the Gaze of Fascination,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0047
2018,From Revolution to Literature,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0016
2018,Lift This Fog Which Is Already of the Dawn,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0024
2018,Friendship in Disaster,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0058
2018,The Disenchantment of the Community,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0028
2018,A First Homage,Christophe Bident,https://doi.org/10.5422/fordham/9780823281763.003.0054
2018,"Friendship without Reciprocation? Aristotle, Nietzsche, and Blanchot","Ana Romero-iribas, Graham M. Smith",https://doi.org/10.5325/goodsociety.27.1-2.0001
2018,"""‘L’indicible’ et ‘le recit’ - autour de L’Arre?t de mort de Maurice Blanchot""",Jaejung KOH,https://doi.org/10.18824/ellf.116.01
2018,11. The Intoxicated Conversation: Maurice Blanchot and the Poetics of Critical Masks,"Daniel Rosenberg Nutters, Daniel T. O’Hara",https://doi.org/10.7312/ghos18738-011
2019,Maurice Blanchot,"Christophe Bident, John McKeane",https://doi.org/10.1515/9780823281787
2019,"<i>Nous sommes tous la pègre: les années 68 de Blanchot</i>
            . Par
            <scp>Jean-François Hamel</scp>
            <i>Nous sommes tous la pègre: les années 68 de Blanchot</i>
            . Par HamelJean-François. Paris: Minuit, 2018. 131 pp.",Zoe Angelis,https://doi.org/10.1093/fs/kny234
2019,Maurice Blanchot:,,https://doi.org/10.2307/j.ctv5nph81.13
2019,6 Encounter Two: Lefebvre and Blanchot,,https://doi.org/10.1515/9781474456968-011
2019,Encounter Two: Lefebvre and Blanchot,Jan Bryant,https://doi.org/10.3366/edinburgh/9781474456944.003.0007
2019,6. Maurice Blanchot: The Writing of Disaster,,https://doi.org/10.7591/9781501731648-009
2019,5. The Radiant Suspensions of Julien Gracq and Maurice Blanchot,,https://doi.org/10.7591/9781501729607-006
2019,5. Maurice Blanchot: The Use and Abuse of Silence,,https://doi.org/10.1515/9780691192109-011
2019,"3. Two Mirrors Facing: Freud, Blanchot, and the Logic of Invisibility",,https://doi.org/10.7591/9781501725814-004
2019,3. Waiting Maurice Blanchot (1907–2003),,https://doi.org/10.12987/9780300231427-005
2020,"Maurice Blanchot,
            <i>Thomas L’Obscur</i>
            , Chapter I",John McKeane,https://doi.org/10.1093/frebul/ktz014
2020,Calum Watt (2017)<i>Blanchot and the Moving Image: Fascination and Spectatorship</i>,Corey P. Cribb,https://doi.org/10.3366/film.2020.0130
2020,Toward an Aesthetics of Obscurity: From Baumgarten to Blanchot,Jonas Rosenbrück,https://doi.org/10.1215/00104124-7909994
2020,Blanchot / Bataille,,https://doi.org/10.2307/j.ctv3029rqm.8
2020,Poétique de Blanchot,Kyouhyun PARK,https://doi.org/10.18824/ellf.121.03
2020,Blanchot and Lautréamont,William S. Allen,https://doi.org/10.1215/10418385-8241923
2020,Aesthetics of Negativity,William S. Allen,https://doi.org/10.1515/9780823269310
2020,Ending and Unending Agony,Philippe Lacoue-Labarthe,https://doi.org/10.1515/9780823264605
2020,chapter 22. In the Name of the Other,,https://doi.org/10.1515/9780823281787-024
2020,chapter 2. Music and Family Memory,,https://doi.org/10.1515/9780823281787-004
2020,chapter 19. The Universe Is to Be Found in Night,,https://doi.org/10.1515/9780823281787-021
2020,chapter 8. “Mahatma Gandhi”,,https://doi.org/10.1515/9780823281787-010
2020,9. The Negativity of Thinking through Language,,https://doi.org/10.1515/9780823269310-012
2020,I. “The Secret Miracle” (20 July?),,https://doi.org/10.1515/9780823264605-004
2020,Contents,,https://doi.org/10.1515/9780823269310-toc
2020,3. Embodied Violence and the Leap from the Law,,https://doi.org/10.1515/9780823254712-006
2020,chapter 32. The Passion of Silence,,https://doi.org/10.1515/9780823281787-034
2020,Frontmatter,,https://doi.org/10.1515/9780823281787-fm
2020,chapter 25. Writers Who Have Given Too Much to the Present,,https://doi.org/10.1515/9780823281787-027
2020,chapter 3. The Fedora of Death,,https://doi.org/10.1515/9780823281787-005
2020,"chapter 10. Journalist, Opponent of Hitler, National- Revolutionary",,https://doi.org/10.1515/9780823281787-012
2020,notes,,https://doi.org/10.1515/9780823281787-068
2020,chapter 31. The Black Stain,,https://doi.org/10.1515/9780823281787-033
2020,chapter 53. The Thought of the Neuter,,https://doi.org/10.1515/9780823281787-055
2020,chapter 17. Murderous Omens of Times to Come,,https://doi.org/10.1515/9780823281787-019
2020,8. Beckett’s Voices and the Paradox of Expression,,https://doi.org/10.1515/9780823254712-011
2020,chapter 24. Lift This Fog Which Is Already of the Dawn,,https://doi.org/10.1515/9780823281787-026
2020,5. In Lieu of a Last Word: Maurice Blanchot and the Future of Memory (Today),,https://doi.org/10.1515/9780823254231-007
2020,7. The Possibility of Speculative Writing,,https://doi.org/10.1515/9780823269310-010
2020,5. Indifferent Reading in Aminadab,,https://doi.org/10.1515/9780823269310-008
2020,CHAPTER 7. The Name God in Blanchot,Jean-Luc Nancy,https://doi.org/10.1515/9780823255580-009
2020,CHAPTER 8. Humanism’s Cry,Laurens ten Kate,https://doi.org/10.1515/9780823255580-010
2020,"9. Company, But Not Enough",,https://doi.org/10.1515/9780823254712-012
2020,5. Pointed Instants,,https://doi.org/10.1515/9780823254712-008
2020,"6 Atheism and Freedom After the Death of God: Blanchot, Catholicism, Literature, and Life",,https://doi.org/10.1515/9780804774246-011
2020,2. The Ecstasy of Judgment,,https://doi.org/10.1515/9780823254712-005
2020,2. The Obscurities of Artistic Innovation,,https://doi.org/10.1515/9780823269310-005
2020,"chapter 41. Are You Writing, Are You Writing Even Now?",,https://doi.org/10.1515/9780823281787-043
2020,"chapter 48. Refusal, II: In the Name of the Anonymous",,https://doi.org/10.1515/9780823281787-050
2020,Notes,,https://doi.org/10.1515/9780823269310-014
2020,chapter 60. Forming the Myth,,https://doi.org/10.1515/9780823281787-062
2020,Index,,https://doi.org/10.1515/9780823269310-016
2020,Contents,,https://doi.org/10.1515/9780823254712-toc
2020,chapter 52. Act in Such a Way That I Can Speak to You,,https://doi.org/10.1515/9780823281787-054
2020,Preface,,https://doi.org/10.1515/9780823254712-002
2020,chapter 57. Life Outside,,https://doi.org/10.1515/9780823281787-059
2020,chapter 42. The Critical Detour,,https://doi.org/10.1515/9780823281787-044
2020,1. Autonomous Literature,,https://doi.org/10.1515/9780823269310-004
2020,contents,,https://doi.org/10.1515/9780823281787-toc
2020,chpater 37. Quarrels in the Literary World,,https://doi.org/10.1515/9780823281787-039
2020,Index of Names,,https://doi.org/10.1515/9780823264605-008
2020,chapter 36. The Authority of Friendship,,https://doi.org/10.1515/9780823281787-038
2020,chapter 11. The Escalation of Rhetoric,,https://doi.org/10.1515/9780823281787-013
2020,chapter 23. A True Writer Has Appeared,,https://doi.org/10.1515/9780823281787-025
2020,"books by maurice blanchot, with translations into english",,https://doi.org/10.1515/9780823281787-069
2020,"Sara Guyer and Brian McGrath, series editors",,https://doi.org/10.1515/9780823264605-009
2020,preface,,https://doi.org/10.1515/9780823281787-002
2020,"chapter 9. Refusal, I: The Revolution of Spirit",,https://doi.org/10.1515/9780823281787-011
2020,6. The Shell and the Mask,,https://doi.org/10.1515/9780823254712-009
2020,Contents,,https://doi.org/10.1515/9780823264605-toc
2020,chapter 43. The Author in Reverse,,https://doi.org/10.1515/9780823281787-045
2020,chapter 40. The Radiance of a Blind Power,,https://doi.org/10.1515/9780823281787-042
2020,chapter 4. The Walking Stick with the Silver Pommel,,https://doi.org/10.1515/9780823281787-006
2020,chapter 58. Friendship in Disaster,,https://doi.org/10.1515/9780823281787-060
2020,chapter 38. Invisible Partner,,https://doi.org/10.1515/9780823281787-040
2020,Bibliographical Note,,https://doi.org/10.1515/9780823264605-007
2020,chapter 6. There Is,,https://doi.org/10.1515/9780823281787-008
2020,chapter 61. Making the Secret Uncomfortable,,https://doi.org/10.1515/9780823281787-063
2020,Frontmatter,,https://doi.org/10.1515/9780823269310-fm
2020,"6. Resisting, Responding: Maurice Blanchot and the Promise of Writing",,https://doi.org/10.7591/9781501738869-007
2020,Frontmatter,,https://doi.org/10.1515/9780823254712-fm
2020,chapter 27. The Prisoner of the Eyes That Capture Him,,https://doi.org/10.1515/9780823281787-029
2020,chapter 7. Aligning One’s Convictions,,https://doi.org/10.1515/9780823281787-009
2020,translator’s note,,https://doi.org/10.1515/9780823281787-001
2020,Acknowledgments,,https://doi.org/10.1515/9780823269310-002
2020,3. Tyranny of the Possible: Blanchot,,https://doi.org/10.1515/9780823270088-004
2020,Notes,,https://doi.org/10.1515/9780823264605-006
2020,chapter 13. Patriotism’s Breaking Point,,https://doi.org/10.1515/9780823281787-015
2020,8. Echo Location,,https://doi.org/10.1515/9780823269310-011
2020,chapter 56. The Far Side of Fear,,https://doi.org/10.1515/9780823281787-058
2020,chapter 50. Invisible Partners,,https://doi.org/10.1515/9780823281787-052
2020,chapter 35. The Turn of the Screw,,https://doi.org/10.1515/9780823281787-037
2020,chapter 45. Of an Amazing Lightness,,https://doi.org/10.1515/9780823281787-047
2020,"Appendix: Thomas l’Obscur, Chapter 1",,https://doi.org/10.1515/9780823269310-013
2020,6. The Language-Like Quality of the Artwork,,https://doi.org/10.1515/9780823269310-009
2020,chapter 26. From Anguish to Language,,https://doi.org/10.1515/9780823281787-028
2020,chapter 59. The Last Book,,https://doi.org/10.1515/9780823281787-061
2020,chapter 1. Blanchot of Quain,,https://doi.org/10.1515/9780823281787-003
2020,chapter 44. Always Already (The Poetic and Political Interruption of Thought),,https://doi.org/10.1515/9780823281787-046
2020,Introduction,"Aristide Bianchi, Leonid Kharlamov",https://doi.org/10.1515/9780823264605-002
2020,chapter 34. Something Infl exible,,https://doi.org/10.1515/9780823281787-036
2020,chapter 62. With This Break in History Stuck in One’s Throat,,https://doi.org/10.1515/9780823281787-064
2020,chapter 54. A First Homage,,https://doi.org/10.1515/9780823281787-056
2020,chapter 21. Admiration and Agreement,,https://doi.org/10.1515/9780823281787-023
2020,4. Degradation of the Sublime,,https://doi.org/10.1515/9780823254712-007
2020,chapter 33. The Mediterranean Sojourn,,https://doi.org/10.1515/9780823281787-035
2020,Chapter Three. The Task of the Doppelgänger,,https://doi.org/10.1515/9780823238392-006
2020,chapter 49. Note That I Say “Right” and Not “Duty”,,https://doi.org/10.1515/9780823281787-051
2020,Index,,https://doi.org/10.1515/9780823254712-016
2020,chapter 5. A Flash in the Darkness,,https://doi.org/10.1515/9780823281787-007
2020,chapter 28. The Disenchantment of the Community,,https://doi.org/10.1515/9780823281787-030
2020,chapter 39. The Essential Solitude,,https://doi.org/10.1515/9780823281787-041
2020,chapter 20. Using Vichy against Vichy,,https://doi.org/10.1515/9780823281787-022
2020,chapter 63. Even a Few Steps Take Time,,https://doi.org/10.1515/9780823281787-065
2020,Notes,,https://doi.org/10.1515/9780823254712-014
2020,chapter 51. Characters in Thought,,https://doi.org/10.1515/9780823281787-053
2020,4. The Absent Author: Maurice Blanchot and the Subjection of Politics,,https://doi.org/10.1515/9780804782838-006
2020,Amor,,https://doi.org/10.1515/9780823281787-066
2020,chapter 29. The Year of Criticism,,https://doi.org/10.1515/9780823281787-031
2020,Bibliography,,https://doi.org/10.1515/9780823269310-015
2020,chapter 55. Between Two Forms of the Unavowable,,https://doi.org/10.1515/9780823281787-057
2020,chapter 16. From Revolution to Literature,,https://doi.org/10.1515/9780823281787-018
2020,index,,https://doi.org/10.1515/9780823281787-070
2020,chapter 12. Terrorism as a Method of Public Safety,,https://doi.org/10.1515/9780823281787-014
2020,7. The Dead Look,,https://doi.org/10.1515/9780823254712-010
2020,Introduction,,https://doi.org/10.1515/9780823254712-003
2020,Introduction: Abstract and Concrete Modernity,,https://doi.org/10.1515/9780823269310-003
2020,chapter 15. On the Transformation of Convictions,,https://doi.org/10.1515/9780823281787-017
2020,Prologue,,https://doi.org/10.1515/9780823264605-003
2020,Conclusion. Speech Unredeemed,,https://doi.org/10.1515/9780823254712-013
2020,The Name God in Blanchot,,https://doi.org/10.1515/9780823237579-009
2020,acknowledgments,,https://doi.org/10.1515/9780823281787-067
2020,Frontmatter,,https://doi.org/10.1515/9780823264605-fm
2020,1. Kafka’s Teeth,,https://doi.org/10.1515/9780823254712-004
2020,3. Dead Transcendence,,https://doi.org/10.1515/9780823269310-006
2020,Abbreviations,,https://doi.org/10.1515/9780823269310-001
2020,chapter 14. These Events Happened to Me in 1937,,https://doi.org/10.1515/9780823281787-016
2020,Translator’s Note,,https://doi.org/10.1515/9780823264605-001
2020,"chapter 18. Night Freely Recircled, Which Plays Us",,https://doi.org/10.1515/9780823281787-020
2020,chapter 30. Respecting Scandal,,https://doi.org/10.1515/9780823281787-032
2020,"chapter 46. Grace, Strength, Gentleness",,https://doi.org/10.1515/9780823281787-048
2020,List of Abbreviations,,https://doi.org/10.1515/9780823254712-001
2020,4. An Image of Thought in Thomas l’Obscur,,https://doi.org/10.1515/9780823269310-007
2020,II. Ending and Unending Agony (22 September?),,https://doi.org/10.1515/9780823264605-005
2020,chapter 47. In the Gaze of Fascination,,https://doi.org/10.1515/9780823281787-049
2020,Bibliography,,https://doi.org/10.1515/9780823254712-015
2021,Blanchot in Infinite Conversation(s) with Beckett,None Ionescu,https://doi.org/10.2979/jmodelite.44.3.06
2021,"<i>Noir and Blanchot: Deteriorations of the Event</i>
            . By
            <scp>William S. Allen</scp>
            <i>Noir and Blanchot: Deteriorations of the Event</i>
            . By AllenWilliam S.. London: Bloomsbury Academic, 2020. xiii + 179 pp., ill.",Calum Watt,https://doi.org/10.1093/fs/knaa249
2021,Desperate Clarity,Maurice Blanchot,https://doi.org/10.1515/9780823291380
2021,Into Disaster,Maurice Blanchot,https://doi.org/10.1515/9780823291854
2021,"In a Case of Death Involving Steroids, Hair Testing is More Informative than Blood or Urine Testing","Pascal Kintz, Laurie Gheddar, Adeline Blanchot, Alice Ameline, Jean-Sébastien Raul",https://doi.org/10.1093/jat/bkab048
2021,8. Third Person and Fourth Person: Esposito and Blanchot,Joshua Schuster,https://doi.org/10.1515/9781474480369-010
2021,Third Person And Fourth Person: Esposito And Blanchot,Joshua Schuster,https://doi.org/10.3366/edinburgh/9781474480338.003.0009
2021,Impersonality of Kim Soo-young’s Poetry and Translation —Through Comparison with Mallarmé and Blanchot,Seungree Yun,https://doi.org/10.21720/complit85.09
2021,"<i>Blanchot politique: sur une réflexion jamais interrompue</i>
            . Par
            <scp>Leslie Hill</scp>
            <i>Blanchot politique: sur une réflexion jamais interrompue</i>
            . Par HillLeslie. Genève: Furor, 2020. 550 pp.",John McKeane,https://doi.org/10.1093/fs/knab111
2021,Blanchot i Pessoa na ścieżkach indyferencji (wyzwania tożsamościowe − retrospekcja indyferencji),"None None, Piotr Orlik",https://doi.org/10.14746/amup.9788323239413
2022,"Literature and Death: McCarthy, Blanchot and Suttree",Patrick O'Connor,https://doi.org/10.3366/edinburgh/9781474497268.003.0003
2022,"Chapter 2 Literature and Death: McCarthy, Blanchot and Suttree",,https://doi.org/10.1515/9781474497282-004
2022,"4 The Unbearable Lightness of Being: Chiasmus, Embodiment, and Interpretation in Maurice Blanchot",,https://doi.org/10.1515/9781474497527-006
2022,"Political Writings, 1953-1993",Maurice Blanchot,https://doi.org/10.1515/9780823292387
2022,On Sade’s Sovereign Excess: Beckett Translating Blanchot and Bataille,Michael Krimper,https://doi.org/10.3366/jobs.2022.0362
2022,Sade and the Sovereign Man,Maurice Blanchot,https://doi.org/10.3366/jobs.2022.0356
2022,"The Unbearable Lightness of Being: Chiasmus, Embodiment, and Interpretation in Maurice Blanchot",Zoë Roth,https://doi.org/10.3366/edinburgh/9781474497503.003.0005
2022,"B Effects: Bonds of Form and Time in Barthes, Blanchot and Beckett",Laurent Milesi,https://doi.org/10.3366/para.2022.0394
2022,Maurice Blanchot: ‘Theorist’ of the Diary?,Sam Ferguson,https://doi.org/10.3366/nfs.2022.0346
2023,"The Power of Keratinous Matrices (Head Hair, Body Hair and Nail Clippings) Analysis in a Case of Death Involving Anabolic Agents","Laurie Gheddar, Adeline Blanchot, Alice Ameline, Nadia Arbouche, Jean-Sébastien Raul, Pascal Kintz",https://doi.org/10.1093/jat/bkac101
2022,1. The Passion of Time: Au moment voulu (Nietzsche- Heidegger-Blanchot),,https://doi.org/10.1515/9780823291861-004
2022,6 By the Board: Derrida Approaching Blanchot,,https://doi.org/10.1515/9780823290901-010
2022,2. Dream and Writing in Blanchot,,https://doi.org/10.1515/9780823293124-004
2022,Georges Bataille (1897-1962) and Maurice Blanchot (1907-),R. Brandon Kershner,https://doi.org/10.1515/9780748672554-023
2022,Appendix. Blanchot in The International Review,,https://doi.org/10.1515/9780823292004-011
2022,8 Lacoue-Labarthe between Derrida and Blanchot: Movement as Marking the Subject-in-Loss,,https://doi.org/10.1515/9780823292349-009
2022,7. The Unerasable Difference: Levinas in Blanchot,,https://doi.org/10.1515/9780823291861-010
2022,"Nine. On Parole: Legacies of Saussure, Blanchot, and Paulhan",,https://doi.org/10.1515/9780823291878-013
2023,Wherefore An-Other Communism,"Alex Obrigewitsch, None None",https://doi.org/10.5840/symposium20232719
2023,The Image of Impossibility Binding Literature and Phenomenology,"Alex Obrigewitsch, None None",https://doi.org/10.5840/studphaen20232310
2023,"William S. Allen, Illegibility: Blanchot and Hegel. London et al.: Bloomsbury Academic, 2021. ISBN 978-1-5013-7675-7 (hbk). Pp. 244<b>.</b> £95.00.",Niall Gildea,https://doi.org/10.1017/hgl.2023.4
2023,"<i>Illegibility: Blanchot and Hegel</i>
            . By William S. Allen
            <i>Illegibility: Blanchot and Hegel</i>
            . By AllenWilliam S.. New York: Bloomsbury Academic, 2022. xiv + 244 pp.",Michael Holland,https://doi.org/10.1093/fs/knac225
2023,Testing for clomiphene in keratinous matrices (hair and nail),"Pascal Kintz, Laurie Gheddar, Adeline Blanchot, Alice Ameline, Jean-Sébastien Raul",https://doi.org/10.1093/jat/bkad050
2023,"Physical Education and Sport in 『L""Écriture du désastre』 by Maurice Blanchot",Kyung-Sook Lee,https://doi.org/10.31694/pm.2023.09.31.3.009
2023,Art and Technology in Maurice Blanchot,Holly Langstaff,https://doi.org/10.1515/9781399515498
